name,year,km_driven,fuel,seller_type,transmission,owner,selling_price
Hyundai Grand i10 Magna,2015,70000,Petrol,Individual,Manual,Second Owner,320000
Maruti Wagon R LXI BS IV,2014,50000,Petrol,Individual,Manual,First Owner,300000
Volkswagen CrossPolo 1.2 MPI,2016,110000,Petrol,Individual,Manual,First Owner,350000
Maruti Ertiga VXI Petrol,2018,50000,Petrol,Individual,Manual,First Owner,800000
Hyundai Xcent 1.1 CRDi S,2016,175000,Diesel,Individual,Manual,First Owner,270000
Hyundai i20 1.2 Magna Executive,2017,60000,Petrol,Individual,Manual,First Owner,540000
Maruti Wagon R LXI CNG,2011,60000,CNG,Individual,Manual,Second Owner,160000
Maruti SX4 VDI,2013,100000,Diesel,Individual,Manual,Second Owner,340000
Maruti Eeco 5 Seater AC BSIV,2017,40000,Petrol,Individual,Manual,Second Owner,350000
Volkswagen Vento Diesel Style Limited Edition,2011,100000,Diesel,Individual,Manual,First Owner,300000
Maruti Ritz VDi,2013,63000,Diesel,Individual,Manual,First Owner,330000
Maruti Wagon R LXI CNG,2016,80000,CNG,Individual,Manual,Second Owner,325000
Maruti Swift Dzire VDI,2013,55000,Diesel,Individual,Manual,First Owner,250000
Maruti Swift Star VDI,2013,55000,Diesel,Individual,Manual,First Owner,250000
Chevrolet Beat LT Option,2015,60000,Petrol,Individual,Manual,First Owner,240000
Hyundai Grand i10 1.2 Kappa Magna BSIV,2020,5000,Petrol,Individual,Manual,First Owner,545000
Hyundai i10 Magna 1.1 iTech SE,2015,48000,Petrol,Dealer,Manual,First Owner,300000
Chevrolet Beat LT,2010,80000,Petrol,Individual,Manual,Second Owner,130000
Renault KWID RXT,2017,50000,Petrol,Individual,Manual,First Owner,240000
Renault KWID 1.0 RXT Optional,2018,15000,Petrol,Individual,Manual,First Owner,360000
Hyundai i20 1.4 CRDi Magna,2012,70000,Diesel,Individual,Manual,First Owner,250000
Skoda Laura Elegance 2.0 TDI CR AT,2019,105000,Diesel,Dealer,Automatic,First Owner,475000
Hyundai i20 Asta Option 1.4 CRDi,2016,50000,Diesel,Individual,Manual,Second Owner,600000
Tata Indigo CR4,2010,80000,Diesel,Individual,Manual,Second Owner,150000
Ford EcoSport 1.5 Diesel Trend BSIV,2017,50000,Diesel,Individual,Manual,First Owner,700000
Mahindra XUV500 W6 2WD,2016,5000,Diesel,Individual,Manual,First Owner,1290000
Hyundai Santro Xing XG,2004,58000,Petrol,Individual,Manual,First Owner,80000
Hyundai Grand i10 Sportz,2015,12000,Petrol,Individual,Manual,First Owner,425000
Maruti Celerio ZXI AMT BSIV,2018,10000,Petrol,Individual,Automatic,First Owner,500000
Hyundai Santro Xing GLS,2012,45000,Petrol,Individual,Manual,Second Owner,193000
Honda City i VTEC V,2015,10000,Petrol,Individual,Manual,First Owner,800000
Maruti Wagon R LXI Minor,2008,50000,Petrol,Individual,Manual,First Owner,150000
Maruti 800 AC,2002,40000,Petrol,Individual,Manual,Fourth & Above Owner,80000
Ford Figo Diesel EXI,2010,100000,Diesel,Individual,Manual,Third Owner,130000
Ford Figo Diesel EXI,2012,80000,Diesel,Individual,Manual,Second Owner,280000
Mahindra Xylo D2 BS IV,2011,110000,Diesel,Individual,Manual,Second Owner,229999
Maruti Zen Estilo VXI BSIII,2008,120000,Petrol,Individual,Manual,First Owner,80000
Tata Nano Cx BSIII,2010,10000,Petrol,Individual,Manual,First Owner,70000
Maruti Ritz VDi,2013,60000,Diesel,Individual,Manual,Second Owner,240000
Mahindra Xylo E8,2010,72000,Diesel,Individual,Manual,Second Owner,380000
Maruti Ritz VDi,2013,60000,Diesel,Individual,Manual,Second Owner,240000
Hyundai Santro Xing XO,2006,110000,Petrol,Individual,Manual,First Owner,80000
Hyundai i10 Era,2013,50000,Petrol,Individual,Manual,First Owner,265000
Hyundai EON Magna Plus Option,2018,25000,Petrol,Individual,Manual,First Owner,320000
Nissan Terrano XL 110 PS,2014,120000,Diesel,Individual,Manual,Third Owner,500000
Hyundai Creta 1.6 CRDi SX Option,2016,55000,Diesel,Individual,Manual,First Owner,1300000
